timestamp,lat,lon,orientation,fix_quality,hdop,numsats,cog,sog
1733437396.4612875,48.68483789166667,-123.19208922333334,39.1,2,0.7,27,0,0
1733437396.6733549,48.68483797166667,-123.19208939166667,39,2,0.7,27,0,0
1733437396.8730822,48.68483797166667,-123.19208939166667,39,2,0.7,27,0,0
1733437397.0601149,48.68483797166667,-123.19208939166667,39,2,0.7,27,0,0
1733437397.2643743,48.68483797166667,-123.19208939166667,39,2,0.7,27,0,0
1733437397.4595,48.68483797166667,-123.19208939166667,39,2,0.7,27,0,0
1733437397.6684778,48.684837843333334,-123.19208954166666,39.2,2,0.7,27,0,0
1733437397.8748553,48.684837843333334,-123.19208954166666,39.2,2,0.7,27,0,0
1733437398.0670786,48.684837843333334,-123.19208954166666,39.4,2,0.7,27,0,0
1733437398.2631269,48.684837843333334,-123.19208954166666,39.4,2,0.7,27,0,0
1733437398.464953,48.68483802833333,-123.19208967833333,39.5,2,0.7,27,0,0
1733437398.6658502,48.68483802833333,-123.19208967833333,39.5,2,0.7,27,0,0
1733437398.864876,48.68483802833333,-123.19208967833333,39.5,2,0.7,27,0,0
1733437399.0602078,48.68483802833333,-123.19208967833333,39.5,2,0.7,27,0,0
1733437399.2648842,48.68483802833333,-123.19208967833333,39.5,2,0.7,27,0,0
1733437399.464258,48.68483816,-123.19208969333333,39.60000000000001,2,0.7,27,0,0
1733437399.6702354,48.68483816,-123.19208969333333,39.60000000000001,2,0.7,27,0,0
1733437399.8733401,48.68483816,-123.19208969333333,39.60000000000001,2,0.7,27,0,0
1733437400.0693772,48.68483816,-123.19208969333333,39.60000000000001,2,0.7,27,0,0
1733437400.2709947,48.68483816,-123.19208969333333,39.60000000000001,2,0.7,27,0,0
1733437400.4712636,48.68483828833333,-123.19209025833334,39.9,2,0.7,27,0,0
1733437400.671165,48.68483828833333,-123.19209025833334,39.9,2,0.7,27,0,0
1733437400.8710697,48.68483828833333,-123.19209025833334,39.9,2,0.7,27,0,0
1733437401.0650628,48.68483828833333,-123.19209025833334,39.9,2,0.7,27,0,0
1733437401.2696428,48.684838406666664,-123.19209005,40,2,0.7,27,0,0
1733437401.478186,48.684838406666664,-123.19209005,40,2,0.7,27,0,0
1733437401.6750474,48.684838406666664,-123.19209005,40,2,0.7,27,0,0
1733437401.8721812,48.684838406666664,-123.19209005,40,2,0.7,27,0,0
1733437402.0712812,48.684838406666664,-123.19209005,40.2,2,0.7,27,0,0
1733437402.27367,48.684838406666664,-123.19209005,40.2,2,0.7,27,0,0
1733437402.474095,48.68483852166667,-123.19209046,40.5,2,0.7,27,0,0
1733437402.6735358,48.68483852166667,-123.19209046,40.5,2,0.7,27,0,0
1733437402.8681326,48.68483852166667,-123.19209046,40.5,2,0.7,27,0,0
1733437403.0726907,48.68483852166667,-123.19209046,40.70000000000001,2,0.7,27,0,0
1733437403.2721965,48.68483852166667,-123.19209046,40.70000000000001,2,0.7,27,0,0
1733437403.4721324,48.684838561666666,-123.19209032,40.60000000000001,2,0.7,27,0,0
1733437403.6796346,48.684838561666666,-123.19209032,40.60000000000001,2,0.7,27,0,0
1733437403.8767445,48.684838561666666,-123.19209032,40.60000000000001,2,0.7,27,0,0
1733437404.0701075,48.684838561666666,-123.19209032,40.8,2,0.7,27,0,0
1733437404.2718282,48.684838561666666,-123.19209032,40.8,2,0.7,27,0,0
1733437404.471452,48.68483876333333,-123.19209055833333,41.3,2,0.7,27,0,0
1733437404.6731513,48.68483876333333,-123.19209055833333,41.3,2,0.7,27,0,0
1733437404.8727834,48.68483876333333,-123.19209055833333,41.3,2,0.7,27,0,0
1733437405.0762544,48.68483876333333,-123.19209055833333,41.50000000000001,2,0.7,27,0,0
1733437405.2731426,48.68483876333333,-123.19209055833333,41.50000000000001,2,0.7,27,0,0
1733437405.4711628,48.68483895666667,-123.19209047833333,41.6,2,0.7,27,0,0
1733437405.670797,48.68483895666667,-123.19209047833333,41.6,2,0.7,27,0,0
1733437405.8710146,48.68483895666667,-123.19209047833333,41.6,2,0.7,27,0,0
