timestamp,utc,latitude,longitude,fix_quality,numsats,hdop,orthometric_height
1733437190.9991388,221951.0,48.684825825,-123.19206602833333,2,27,0.7,1.331
1733437191.9990098,221952.0,48.684825761666666,-123.19206570166666,2,27,0.7,1.324
1733437192.999036,221953.0,48.68482583,-123.19206642833333,2,27,0.7,1.328
1733437193.9997377,221954.0,48.68482583666667,-123.19206596333333,2,27,0.7,1.324
1733437194.9988294,221955.0,48.68482616,-123.19206678,2,27,0.7,1.318
1733437195.999279,221956.0,48.684826181666665,-123.192066385,2,27,0.7,1.313
1733437196.9986176,221957.0,48.68482639333333,-123.192066985,2,27,0.7,1.315
1733437197.9991071,221958.0,48.68482636,-123.192066735,2,27,0.7,1.311
1733437198.9987147,221959.0,48.68482678,-123.192067215,2,27,0.7,1.317
1733437200.007495,222000.0,48.684826738333335,-123.19206719166667,2,27,0.7,1.315
1733437201.004763,222001.0,48.684827076666664,-123.192067745,2,27,0.7,1.312
1733437201.9989705,222002.0,48.68482714,-123.19206778,2,27,0.7,1.305
1733437203.0080054,222003.0,48.68482741333333,-123.192068105,2,27,0.7,1.306
1733437203.9994059,222004.0,48.684827695,-123.192068285,2,27,0.7,1.296
1733437204.9990058,222005.0,48.68482784333333,-123.192068315,2,27,0.7,1.296
1733437205.9986517,222006.0,48.684828188333334,-123.19206859,2,27,0.7,1.3
1733437206.998708,222007.0,48.684828235,-123.19206846,2,27,0.7,1.307
1733437207.9977663,222008.0,48.684828595,-123.192069115,2,27,0.7,1.313
1733437208.9974375,222009.0,48.68482862333333,-123.19206879666666,2,27,0.7,1.306
1733437209.9980724,222010.0,48.684829045,-123.19206920166667,2,27,0.7,1.312
1733437211.0634944,222011.0,48.684829155,-123.19206897833334,2,27,0.7,1.307
1733437212.004314,222012.0,48.68482942333333,-123.19206917333334,2,27,0.7,1.299
1733437212.9986675,222013.0,48.68482960833333,-123.19206915833334,2,27,0.7,1.305
1733437214.0045033,222014.0,48.684829791666665,-123.1920691,2,27,0.7,1.297
1733437215.0055144,222015.0,48.68483007,-123.19206898,2,27,0.7,1.291
1733437215.997377,222016.0,48.6848302,-123.19206913,2,27,0.7,1.287
1733437217.0043275,222017.0,48.68483031,-123.19206894333334,2,27,0.7,1.27
1733437218.00224,222018.0,48.684830585,-123.19206903166666,2,27,0.7,1.272
1733437218.996719,222019.0,48.68483054,-123.19206876166666,2,27,0.7,1.26
1733437220.00341,222020.0,48.684830823333336,-123.192068805,2,27,0.7,1.256
1733437220.9960117,222021.0,48.68483089,-123.19206858833333,2,27,0.7,1.262
1733437222.0042756,222022.0,48.68483093166667,-123.192068555,2,27,0.7,1.262
1733437222.9984539,222023.0,48.68483113333333,-123.19206849,2,27,0.7,1.257
1733437223.9982383,222024.0,48.68483101,-123.19206848833333,2,27,0.7,1.275
1733437224.9976811,222025.0,48.684831065,-123.19206828166666,2,27,0.7,1.276
1733437226.0033777,222026.0,48.684830973333334,-123.19206808833333,2,27,0.7,1.271
1733437226.9963858,222027.0,48.68483105166667,-123.19206811833334,2,27,0.7,1.263
1733437227.9970133,222028.0,48.684830983333335,-123.19206789666667,2,27,0.7,1.276
1733437229.003696,222029.0,48.684831,-123.192067975,2,27,0.7,1.263
1733437230.0041323,222030.0,48.68483081833333,-123.19206772666666,2,27,0.7,1.277
