timestamp,distance [mm],confidence [%]
2022-08-15 10:53:00.844000,876,100
2022-08-15 10:53:00.920000,874,100
2022-08-15 10:53:00.979000,873,100
2022-08-15 10:53:01.047000,871,100
2022-08-15 10:53:01.105000,868,100
2022-08-15 10:53:01.175000,863,100
2022-08-15 10:53:01.233000,860,100
2022-08-15 10:53:01.315000,858,100
2022-08-15 10:53:01.372000,856,100
2022-08-15 10:53:01.452000,856,100
2022-08-15 10:53:01.515000,854,100
2022-08-15 10:53:01.578000,851,100
2022-08-15 10:53:01.648000,847,100
2022-08-15 10:53:01.702000,846,100
2022-08-15 10:53:01.773000,845,100
2022-08-15 10:53:01.843000,845,100
2022-08-15 10:53:01.894000,845,100
2022-08-15 10:53:01.972000,844,100
2022-08-15 10:53:02.045000,841,100
2022-08-15 10:53:02.097000,839,100
2022-08-15 10:53:02.165000,838,100
2022-08-15 10:53:02.224000,838,100
2022-08-15 10:53:02.301000,835,100
2022-08-15 10:53:02.362000,831,100
2022-08-15 10:53:02.437000,833,100
2022-08-15 10:53:02.493000,833,100
2022-08-15 10:53:02.566000,836,100
2022-08-15 10:53:02.622000,834,100
2022-08-15 10:53:02.692000,833,100
2022-08-15 10:53:02.756000,829,100
2022-08-15 10:53:02.833000,831,100
2022-08-15 10:53:02.892000,829,100
2022-08-15 10:53:02.958000,828,100
2022-08-15 10:53:03.024000,829,100
2022-08-15 10:53:03.098000,830,100
2022-08-15 10:53:03.157000,831,100
2022-08-15 10:53:03.239000,830,100
2022-08-15 10:53:03.287000,830,100
2022-08-15 10:53:03.356000,830,100
2022-08-15 10:53:03.426000,830,100
2022-08-15 10:53:03.481000,830,100
2022-08-15 10:53:03.567000,827,100
2022-08-15 10:53:03.614000,827,100
2022-08-15 10:53:03.682000,826,100
2022-08-15 10:53:03.759000,823,100
2022-08-15 10:53:03.830000,820,100
2022-08-15 10:53:03.880000,817,100
2022-08-15 10:53:03.951000,816,100
2022-08-15 10:53:04.026000,818,100
2022-08-15 10:53:04.094000,820,100
2022-08-15 10:53:04.143000,822,100
2022-08-15 10:53:04.217000,824,100
2022-08-15 10:53:04.289000,826,100
2022-08-15 10:53:04.355000,823,100
2022-08-15 10:53:04.418000,821,100
2022-08-15 10:53:04.474000,818,100
2022-08-15 10:53:04.544000,816,100
2022-08-15 10:53:04.611000,814,100
2022-08-15 10:53:04.683000,813,100
2022-08-15 10:53:04.737000,812,100
2022-08-15 10:53:04.809000,811,100
2022-08-15 10:53:04.874000,810,100
2022-08-15 10:53:04.940000,810,100
2022-08-15 10:53:05.003000,810,100
2022-08-15 10:53:05.068000,810,100
2022-08-15 10:53:05.134000,810,100
2022-08-15 10:53:05.208000,811,100
2022-08-15 10:53:05.267000,811,100
2022-08-15 10:53:05.340000,811,100
2022-08-15 10:53:05.397000,810,100
2022-08-15 10:53:05.466000,810,100
2022-08-15 10:53:05.535000,807,100
2022-08-15 10:53:05.607000,806,100
2022-08-15 10:53:05.659000,806,100
2022-08-15 10:53:05.734000,806,100
2022-08-15 10:53:05.794000,806,100
2022-08-15 10:53:05.869000,806,100
2022-08-15 10:53:05.925000,809,100
2022-08-15 10:53:05.993000,814,100
2022-08-15 10:53:06.057000,813,100
2022-08-15 10:53:06.118000,811,100
2022-08-15 10:53:06.186000,809,100
2022-08-15 10:53:06.254000,808,100
2022-08-15 10:53:06.329000,808,100
2022-08-15 10:53:06.388000,808,100
2022-08-15 10:53:06.453000,807,100
2022-08-15 10:53:06.521000,808,100
2022-08-15 10:53:06.598000,809,100
2022-08-15 10:53:06.652000,808,100
2022-08-15 10:53:06.717000,807,100
2022-08-15 10:53:06.777000,804,100
2022-08-15 10:53:06.856000,804,100
2022-08-15 10:53:06.911000,804,100
2022-08-15 10:53:06.983000,804,100
2022-08-15 10:53:07.060000,804,100
2022-08-15 10:53:07.117000,804,100
2022-08-15 10:53:07.181000,804,100
2022-08-15 10:53:07.258000,802,100
2022-08-15 10:53:07.308000,798,100
2022-08-15 10:53:07.407000,800,100
2022-08-15 10:53:07.449000,803,100
2022-08-15 10:53:07.516000,804,100
2022-08-15 10:53:07.574000,805,100
2022-08-15 10:53:07.643000,804,100
2022-08-15 10:53:07.715000,804,100
2022-08-15 10:53:07.782000,804,100
2022-08-15 10:53:07.842000,803,100
2022-08-15 10:53:07.910000,802,100
2022-08-15 10:53:07.963000,801,100
2022-08-15 10:53:08.063000,799,100
2022-08-15 10:53:08.106000,801,100
2022-08-15 10:53:08.188000,802,100
2022-08-15 10:53:08.242000,803,100
2022-08-15 10:53:08.310000,806,100
2022-08-15 10:53:08.369000,809,100
2022-08-15 10:53:08.442000,809,100
2022-08-15 10:53:08.500000,809,100
2022-08-15 10:53:08.566000,813,100
2022-08-15 10:53:08.645000,813,100
2022-08-15 10:53:08.703000,813,100
2022-08-15 10:53:08.772000,810,100
2022-08-15 10:53:08.830000,809,100
2022-08-15 10:53:08.906000,808,100
2022-08-15 10:53:08.962000,808,100
2022-08-15 10:53:09.030000,807,100
2022-08-15 10:53:09.093000,805,100
2022-08-15 10:53:09.168000,807,100
2022-08-15 10:53:09.226000,806,100
2022-08-15 10:53:09.300000,807,100
2022-08-15 10:53:09.353000,810,100
2022-08-15 10:53:09.437000,810,100
2022-08-15 10:53:09.496000,810,100
2022-08-15 10:53:09.565000,810,100
2022-08-15 10:53:09.620000,808,100
2022-08-15 10:53:09.690000,806,100
2022-08-15 10:53:09.763000,807,100
2022-08-15 10:53:09.821000,810,100
2022-08-15 10:53:09.894000,808,100
