"X","date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","HavDIS","EucDIS"
1333,"8/15/2022","10:18:13","00:22:14",-4.2,306,89,47.6196212,-122.3632049,10,56.14,22.2166666666667,0,0
1334,"8/15/2022","10:18:14","00:22:15",-4.1,303,89,47.6196174,-122.3631973,10,56.14,22.2333333333333,0.710030190300414,0.710296348403587
1335,"8/15/2022","10:18:15","00:22:16",-4.3,304,89,47.6196174,-122.3632049,10,56.1,22.25,0.570264847309095,0.571096802624251
1336,"8/15/2022","10:18:16","00:22:17",-4.3,302,89,47.6196136,-122.3632049,10,56.1,22.2666666666667,0.423014065129185,0.422337980319075
1337,"8/15/2022","10:18:17","00:22:18",-4.4,307,89,47.6196174,-122.3632125,10,56.08,22.2833333333333,0.710030224011653,0.710296381712564
1338,"8/15/2022","10:18:18","00:22:19",-4.3,315,89,47.6196174,-122.3632049,10,56.07,22.3,0.570264847309095,0.57109680217313
1339,"8/15/2022","10:18:19","00:22:20",-4,316,89,47.6196174,-122.3632049,10,56.08,22.3166666666667,0,0
1340,"8/15/2022","10:18:20","00:22:21",-3.1,313,89,47.6196174,-122.3632125,10,56.07,22.3333333333333,0.570264847309095,0.57109680217313
1341,"8/15/2022","10:18:21","00:22:22",-2.7,307,89,47.6196174,-122.3632125,10,56.05,22.35,0,0
1342,"8/15/2022","10:18:22","00:22:23",-2.2,301,89,47.6196174,-122.3632125,10,56.07,22.3666666666667,0,0
1343,"8/15/2022","10:18:23","00:22:24",-1.9,293,89,47.6196174,-122.3632125,10,56.05,22.3833333333333,0,0
1344,"8/15/2022","10:18:24","00:22:25",-1.6,287,89,47.6196174,-122.3632125,10,56.05,22.4,0,0
1345,"8/15/2022","10:18:25","00:22:26",-1,292,89,47.6196174,-122.3632125,10,56.07,22.4166666666667,0,0
1346,"8/15/2022","10:18:26","00:22:27",-0.8,293,89,47.6196174,-122.3632049,10,56.1,22.4333333333333,0.570264847309095,0.57109680217313
1347,"8/15/2022","10:18:27","00:22:28",-0.1,293,89,47.6196136,-122.3631973,10,56.12,22.45,0.710030224011653,0.71029638283357
1348,"8/15/2022","10:18:28","00:22:29",-1,281,89,47.6196174,-122.3631973,10,56.14,22.4666666666667,0.423014065129185,0.422337980658373
1349,"8/15/2022","10:18:29","00:22:30",-1.1,278,89,47.6196174,-122.3631896,10,56.16,22.4833333333333,0.577768330057041,0.578611232547135
1350,"8/15/2022","10:18:30","00:22:31",-1.6,269,89,47.6196174,-122.3631896,10,56.19,22.5,0,0
1351,"8/15/2022","10:18:31","00:22:32",-1.5,272,89,47.6196174,-122.3631896,10,56.21,22.5166666666667,0,0
